market,outcome,size,entry_price,current_price,pnl,pnl_pct,end_date
"Will the price of Bitcoin be above $90,000 on January 20?",No,43877.3249,0.0658,0,-2890.5065,-99.9999,2026-01-20
"Will the price of Bitcoin be above $90,000 on January 11?",No,37324.0124,0.0989,0,-3693.6962,-99.9999,2026-01-11
"Will the price of Bitcoin be above $90,000 on January 27?",No,29077.1052,0.8247,0.915,2623.8307,10.9409,2026-01-27
Ethereum Up or Down on January 4?,Down,26828.5469,0.152,0,-4078.9586,-99.9999,2026-01-04
"Will the price of Bitcoin be above $90,000 on January 23?",No,22011.6715,0.8562,0,-18848.022,-99.9999,2026-01-23
"Will the price of Ethereum be above $3,100 on January 11?",No,18430.6242,0.4143,0,-7636.9134,-99.9999,2026-01-11
Bitcoin Up or Down on January 25?,Up,17899.297,0.1912,0,-3423.1331,-99.9999,2026-01-25
"Will the price of Bitcoin be above $90,000 on January 8?",No,16161.7064,0.2637,0,-4263.345,-99.9999,2026-01-08
Bitcoin Up or Down on January 11?,Down,15890.5248,0.4694,0,-7459.2348,-99.9999,2026-01-11
"Will the price of Bitcoin be above $86,000 on January 9?",No,15115.8829,0.0319,0,-482.9978,-99.9999,2026-01-09
"Will the price of Bitcoin be above $86,000 on January 20?",No,13014.9121,0.0113,0,-147.3418,-99.9999,2026-01-20
Bitcoin Up or Down on January 20?,Up,12525.0109,0.2775,0,-3476.8052,-99.9999,2026-01-20
Ethereum Up or Down on January 5?,Down,11989.5841,0.2742,0,-3287.9636,-99.9999,2026-01-05
"Will the price of Bitcoin be above $86,000 on January 30?",Yes,11176.8559,0.7098,0.805,1063.1312,13.3992,2026-01-30
"Will the price of Bitcoin be above $86,000 on January 2?",No,10582.1884,0.0247,0,-262.3536,-99.9999,2026-01-02
Will the price of Solana be above $130 on December 28?,Yes,10528.5015,0.104,0,-1095.5011,-99.9999,2025-12-28
"Will the price of Bitcoin be above $90,000 on January 27?",Yes,10397.1327,0.121,0.085,-374.432,-29.7596,2026-01-27
"Will the price of Ethereum be above $2,700 on January 30?",Yes,9865.8179,0.7404,0.94,1968.5956,26.9475,2026-01-30
"Will the price of Bitcoin be above $86,000 on January 27?",No,9707.4805,0.0348,0.029,-56.3907,-16.6881,2026-01-27
"Will the price of Bitcoin be above $86,000 on January 12?",No,9235.0451,0.0586,0,-541.5799,-99.9999,2026-01-12
"Will the price of Bitcoin be above $86,000 on January 18?",No,9207.9015,0.0649,0,-598.2005,-99.9999,2026-01-18
"Will the price of Bitcoin be above $86,000 on January 31?",Yes,9001.5538,0.6015,0.795,1741.2875,32.157,2026-01-31
"Will the price of Bitcoin be above $86,000 on January 13?",No,8395.2708,0.0276,0,-231.8102,-99.9999,2026-01-13
"Will the price of Bitcoin be above $86,000 on January 28?",Yes,8357.8949,0.7564,0.905,1241.6404,19.6392,2026-01-28
"Will the price of Bitcoin be above $80,000 on December 29?",No,8266.1495,0.0293,0,-242.2147,-99.9999,2025-12-29
"Will the price of Ethereum be above $2,700 on January 26?",No,8077.1734,0.026,0,-210.0468,-99.9999,2026-01-26
"Will the price of Bitcoin be above $80,000 on December 27?",No,7827.922,0.0228,0,-178.8993,-99.9999,2025-12-27
"Will the price of Bitcoin be above $80,000 on December 28?",No,7640.4231,0.0261,0,-200.095,-99.9999,2025-12-28
"Will the price of Bitcoin be above $86,000 on February 1?",Yes,7478.7548,0.5947,0.775,1348.3521,30.3158,2026-02-01
Will the price of XRP be between $1.80 and $1.90 on December 30?,No,7304.0645,0.2105,0,-1537.5494,-99.9999,2025-12-30
"Will the price of Bitcoin be above $86,000 on January 29?",Yes,7295.5472,0.6971,0.85,1115.0586,21.9234,2026-01-29
Will the price of XRP be between $1.80 and $1.90 on December 31?,No,7151.3368,0.1603,0,-1146.5595,-99.9999,2025-12-31
Will the price of Solana be above $100 on December 22?,No,7000,0.0205,0,-143.5,-100,2025-12-22
Will the price of Solana be above $130 on December 27?,Yes,6991.72,0.0903,0,-631.7298,-99.9999,2025-12-27
"Will the price of Bitcoin be above $80,000 on January 27?",No,6689.0516,0.0391,0.0005,-258.291,-98.7216,2026-01-27
"Will the price of Ethereum be above $2,700 on December 28?",No,6649.439,0.0587,0,-390.3752,-99.9999,2025-12-28
Will the price of Solana be above $100 on January 30?,No,6422.7463,0.0152,0.014,-7.8036,-7.9855,2026-01-30
"Will the price of Bitcoin be above $90,000 on January 18?",No,6299.0536,0.0609,0,-383.795,-99.9999,2026-01-18
Will the price of XRP be between $1.90 and $2.00 on January 20?,No,6102.4824,0.6346,0,-3872.9038,-99.9999,2026-01-20
"Will the price of Bitcoin be above $96,000 on January 7?",Yes,5925.5152,0.033,0,-196.1108,-99.9999,2026-01-07
"Will the price of Bitcoin be above $80,000 on January 9?",No,5887.1284,0.007,0,-41.2098,-99.9997,2026-01-09
"Will the price of Bitcoin be above $96,000 on January 13?",Yes,5776.2787,0.0256,0,-147.9593,-99.9999,2026-01-13
"Will the price of Bitcoin be above $80,000 on February 1?",No,5632.3512,0.0409,0.0165,-137.7899,-59.7207,2026-02-01
Will the price of XRP be between $1.90 and $2.00 on December 24?,Yes,5592.6201,0.32,0,-1789.6384,-99.9999,2025-12-24
"Will the price of Ethereum be above $3,100 on January 27?",No,5547.0198,0.8815,0.991,607.1046,12.4152,2026-01-27
"Will the price of Bitcoin be above $96,000 on January 25?",Yes,5411.8041,0.2786,0,-1508.0695,-99.9999,2026-01-25
"Will the price of Bitcoin be above $80,000 on December 22?",No,5221.1006,0.0484,0,-252.9362,-99.9999,2025-12-22
Will the price of XRP be between $2.00 and $2.10 on January 13?,Yes,5165.9,0.8098,0,-4183.7797,-99.9999,2026-01-13
Will the price of XRP be between $1.80 and $1.90 on January 21?,No,5065.8776,0.7841,0,-3972.4332,-99.9999,2026-01-21
"Will the price of Bitcoin be above $76,000 on December 22?",No,5000,0.032,0,-160,-100,2025-12-22
Will the price of Solana be above $130 on January 27?,No,4905.1411,0.8641,0.9865,600.296,14.1625,2026-01-27
"Will the price of Bitcoin be above $96,000 on February 1?",Yes,4840.4487,0.0235,0.0375,67.7468,59.5472,2026-02-01
"Will the price of Ethereum be above $2,700 on February 1?",No,4812.24,0.0799,0.095,72.2172,18.7603,2026-02-01
"Will the price of Ethereum be above $2,700 on January 31?",No,4569.84,0.0603,0.08,89.9207,32.6193,2026-01-31
"Will the price of Bitcoin be above $86,000 on January 5?",No,4565.2524,0.0449,0,-205.3085,-99.9999,2026-01-05
"Will the price of Ethereum be above $3,100 on January 18?",No,4398.8745,0.105,0,-461.8906,-99.9999,2026-01-18
Will the price of XRP be between $1.80 and $1.90 on December 24?,No,4237.564,0.2072,0,-878.108,-99.9999,2025-12-24
"Will the price of Bitcoin be above $100,000 on January 31?",No,4155.36,0.975,0.994,78.9518,1.9487,2026-01-31
"Will the price of Ethereum be above $2,700 on December 30?",No,4146.27,0.0367,0,-152.3588,-99.9999,2025-12-30
"Will the price of Ethereum be above $2,700 on January 31?",Yes,4100.2901,0.71,0.92,860.8025,29.5659,2026-01-31
"Will the price of Ethereum be above $3,100 on January 8?",No,3995.5906,0.1667,0,-666.0969,-99.9999,2026-01-08
Will the price of XRP be between $1.90 and $2.00 on December 23?,Yes,3953.1968,0.3891,0,-1538.513,-99.9999,2025-12-23
"Will the price of Ethereum be above $3,400 on January 7?",Yes,3943.3012,0.0384,0,-151.6751,-99.9999,2026-01-07
"Will the price of Ethereum be above $2,700 on December 27?",No,3918.9294,0.0693,0,-271.9501,-99.9999,2025-12-27
"Will the price of Ethereum be above $2,700 on February 1?",Yes,3782.1142,0.7,0.905,775.2653,29.2823,2026-02-01
"Will the price of Bitcoin be above $86,000 on January 11?",No,3752.3965,0.033,0,-123.829,-99.9999,2026-01-11
"Will the price of Ethereum be above $3,400 on January 5?",Yes,3703.1111,0.0183,0,-67.9669,-99.9999,2026-01-05
"Will the price of Bitcoin be above $86,000 on January 23?",No,3574.9574,0.051,0,-182.4265,-99.9999,2026-01-23
Will the price of XRP be between $1.90 and $2.00 on December 30?,Yes,3535.2999,0.2256,0,-797.8747,-99.9999,2025-12-30
Will the price of XRP be between $2.00 and $2.10 on December 23?,Yes,3431.7284,0.1147,0,-393.7736,-99.9999,2025-12-23
"Will the price of Ethereum be above $2,700 on January 29?",Yes,3114.5216,0.7636,0.9565,600.6261,25.2532,2026-01-29
"Will the price of Bitcoin be above $80,000 on January 30?",No,3097.515,0.0279,0.013,-46.1964,-53.4284,2026-01-30
"Will the price of Bitcoin be above $86,000 on January 16?",No,2792.4894,0.0608,0,-169.8587,-99.9999,2026-01-16
Will the price of Solana be above $130 on January 24?,Yes,2748.6307,0.6899,0,-1896.2968,-99.9999,2026-01-24
"Will the price of Bitcoin be above $96,000 on January 27?",No,2742.8272,0.89,0.9995,300.3395,12.3033,2026-01-27
"Will the price of Ethereum be above $2,700 on December 31?",No,2728.7472,0.06,0,-163.7248,-99.9999,2025-12-31
"Will the price of Bitcoin be above $80,000 on December 26?",No,2530.61,0.014,0,-35.4867,-99.9998,2025-12-26
"Will the price of Bitcoin be above $86,000 on January 19?",No,2511.8152,0.0573,0,-144.0124,-99.9999,2026-01-19
"Will the price of Bitcoin be above $96,000 on January 11?",Yes,2361.7654,0.2255,0,-532.7127,-99.9999,2026-01-11
"Will the price of Bitcoin be above $100,000 on January 11?",Yes,2275.5,0.0798,0,-181.6349,-99.9999,2026-01-11
Will the price of XRP be between $1.70 and $1.80 on January 28?,No,2257.1617,0.8539,0.925,160.2945,8.3158,2026-01-28
"Will the price of Bitcoin be above $86,000 on January 8?",No,2196.8374,0.1776,0,-390.2,-99.9999,2026-01-08
"Will the price of Bitcoin be above $96,000 on January 29?",No,2135.3188,0.93,0.991,130.2543,6.5591,2026-01-29
"Will the price of Bitcoin be above $80,000 on January 28?",No,2008.3489,0.0159,0.002,-27.9442,-87.4325,2026-01-28
Will the price of Solana be above $130 on January 30?,Yes,1984.4669,0.3499,0.225,-248.0127,-35.71,2026-01-30
"Will the price of Bitcoin be above $90,000 on February 1?",Yes,1963.158,0.2895,0.355,128.5063,22.6078,2026-02-01
"Will the price of Bitcoin be above $86,000 on January 28?",No,1918.2944,0.1043,0.095,-17.8478,-8.92,2026-01-28
Will the price of XRP be between $2.10 and $2.20 on January 14?,No,1917.3196,0.2768,0,-530.8348,-99.9999,2026-01-14
"Will the price of Bitcoin be above $86,000 on January 24?",No,1766.3249,0.0361,0,-63.8279,-99.9999,2026-01-24
"Will the price of Bitcoin be above $96,000 on January 20?",Yes,1709.4655,0.298,0,-509.4754,-99.9999,2026-01-20
"Will the price of Bitcoin be above $86,000 on January 14?",No,1617.8749,0.0433,0,-70.1122,-99.9999,2026-01-14
"Will the price of Bitcoin be above $90,000 on January 30?",Yes,1612.3717,0.4082,0.335,-118.0465,-17.9349,2026-01-30
"Will the price of Bitcoin be above $100,000 on January 16?",Yes,1508.7635,0.0791,0,-119.4533,-99.9999,2026-01-16
"Will the price of Ethereum be above $2,700 on December 25?",No,1374.8214,0.0459,0,-63.1427,-99.9998,2025-12-25
"Will the price of Bitcoin be above $86,000 on January 15?",No,1358.4061,0.0686,0,-93.2111,-99.9999,2026-01-15
"Will the price of Bitcoin be above $80,000 on January 29?",No,1170.2882,0.024,0.004,-23.4385,-83.3526,2026-01-29
"Will the price of Bitcoin be above $90,000 on January 31?",Yes,1145.0625,0.3362,0.3449,9.8921,2.5691,2026-01-31
Will the price of XRP be between $1.80 and $1.90 on January 27?,No,1140.9128,0.5522,0.495,-65.3253,-10.3678,2026-01-27
"Will the price of Ethereum be above $2,400 on December 23?",No,1140.16,0.0159,0,-18.2163,-99.9998,2025-12-23
"Will the price of Bitcoin be above $80,000 on January 31?",No,1060.077,0.0304,0.017,-14.2262,-44.1156,2026-01-31
